Nitrite,Total Rain (mm) -1day Total,TotalNitrogen,Nitrogen_Kjeldahl,TotalSuspendedSolids
0.061,0,1.542,0.73,20.9
0.007,0,0.602,0.37,3.6
0.007,0,0.568,0.34,5
0.007,0,0.609,0.59,23.2
0.006,0,0.52,0.5,2.3
0.011,0,0.304,0.23,5
0.003,0,0.901,0.88,18.8
0.005,0,0.745,0.48,3.4
0.014,0,0.99,0.74,37.2
0.012,0,0.496,0.45,8.1
0.027,0,1.119,0.67,7
0.003,0,0.319,0.21,7.2
0.005,0,1.021,0.5,8.8
0.003,0,0.617,0.46,6.4
0.001,0,0.409,0.4,7.6
0.006,0,0.742,0.4,5
0.012,0,0.91,0.34,2.9
0.018,0,1.119,0.66,6.3
0.088,0,2.158,0.71,5
0.01,0,0.554,0.47,13.8
0.025,0,1.131,0.46,12.7
0.014,0,0.599,0.53,4.4
0.013,0,0.996,0.49,12
0.245,0,4.827,3.6,17.1
0.048,0,1.485,0.91,18.8
0.022,0,0.776,0.46,6.9
0.01,0,0.395,0.23,7.2
0.003,0,0.546,0.48,28.7
0.006,0,1.803,1.77,15.6
0.008,0,0.706,0.44,7.6
0.019,0,0.946,0.72,40.7
0.008,0,0.985,0.45,2.2
0.006,0,0.767,0.65,15.5
0.017,0,0.762,0.54,10.5
0.03,0,1.332,0.49,2.9
0.003,0,0.557,0.47,5.2
0.001,0,0.459,0.44,9
0.004,0,0.382,0.24,9.2
0.021,0,1.245,0.92,15.3
0.078,0,3.243,2.3,442
0.03,0,2.199,1.35,167
0.091,0,3.389,2.55,479
0.063,0,1.832,0.99,159
0.07,0,2.175,1.33,77.9
0.087,0,2.869,1.88,143
0.036,0,2.113,1.45,197
0.001,0,0.366,0.32,5
0.019,0,1.111,0.78,10.8
0.003,0,0.49,0.46,1.6
0.007,0,0.793,0.36,3.5
0.013,0,0.343,0.16,2.5
0.013,0,0.74,0.34,2.1
0.009,0,0.66,0.48,16.6
0.008,0,0.75,0.65,11.1
0.001,0,0.414,0.36,2.1
0.005,0,0.709,0.33,5.1
0.001,0,0.251,0.17,5.4
0.001,0,0.945,0.43,2
0.009,0,1.001,0.27,1.6
0.007,0,0.743,0.52,3.9
0.004,0,0.404,0.38,3.1
0.001,0,0.338,0.33,3.2
0.016,0,0.555,0.42,20.7
0.011,0,0.53,0.4,4.8
0.11,0,3.26,1.8,27.8
0.064,0,1.904,0.48,9
0.005,0,1.045,0.47,10.4
0.014,0,0.812,0.55,2.7
0.005,0,1.045,0.31,5.4
0.006,0,0.482,0.39,8.2
0.006,0,0.503,0.32,3
0.005,0,1.383,0.92,2.4
0.023,0,1.044,0.68,26.2
0.01,0,0.316,0.24,6.2
0.006,0,0.667,0.42,9.2
0.004,0,0.414,0.33,3.6
0.008,0,0.545,0.27,5.8
0.008,0,0.997,0.44,2.7
0.002,0,1.189,0.43,1.8
0.017,0,1.577,0.46,1.4
0.003,0,0.579,0.44,1.4
0.016,0,1.196,0.54,4
0.007,0,0.557,0.41,3.6
0.008,0,1.232,0.52,2.4
0.011,0,0.784,0.07,2.5
0.075,0,2.065,0.63,2.2
0.01,0,1.385,0.63,2.9
0.103,0,2.963,1.24,3.1
0.011,0,0.49,0.38,6.7
0.008,0,0.598,0.51,1.1
0.03,0,1.324,0.44,2.9
0.005,0,0.552,0.22,9.2
0.014,0,1.199,0.24,5.1
0.013,0,0.689,0.27,11.2
0.012,0,0.75,0.26,39.2
0.017,0,0.892,0.76,24.4
0.01,0,0.868,0.62,45.1
0.003,0,0.376,0.26,5.3
0.016,0,1.339,0.46,6.6
0.028,0,0.937,0.31,2.6
0.019,0,0.282,0.04,3.2
0.015,0,1.511,0.52,3.2
0.013,0,0.743,0.24,8.1
0.02,0,1.282,0.61,14.6
0.022,0,0.812,0.56,15.2
0.01,0,1.297,0.32,2
0.031,0,1.013,0.34,1.5
0.046,0,1.312,0.33,16
0.042,0,1.069,0.42,2.2
0.012,0,0.629,0.22,9.2
0.013,0,0.653,0.19,1.8
0.017,0,0.948,0.42,2.8
0.069,0,1.859,0.58,3.6
0.002,0,0.845,0.45,4.2
0.005,0,0.698,0.34,4.3
0.003,0,0.864,0.28,2.2
0.002,0,0.666,0.37,3.5
0.005,0,1.397,0.4,6.3
0.01,0,1.071,0.68,15.2
0.006,0,0.604,0.26,4
0.001,0,0.48,0.18,2.6
0.003,0,1.266,0.35,11.4
0.003,0,1.423,0.37,17.6
0.009,0,1.289,0.23,3
0.004,0,1.24,0.37,1.8
0.006,0,1.244,0.37,10.4
0.006,0,1.706,0.46,7.6
0.007,0,1.12,0.36,22.7
0.007,0,1.507,0.36,0.5
0.008,0,0.817,0.3,5.4
0.036,0,1.215,0.35,0.6
0.015,0,0.968,0.31,1.2
0.072,0,5.562,4.3,1.7
0.011,0,0.765,0.34,1.7
0.007,0,1.143,0.31,2.2
0.043,0,1.963,0.54,1.7
0.005,0,0.845,0.36,4.2
0.007,0,1.187,0.44,8.1
0.012,0,1.528,0.61,19.4
0.025,0,2.245,0.62,18.3
0.003,0,0.959,0.43,4.2
0.011,0,1.625,0.82,22.2
0.002,0,0.977,0.29,1.6
0.006,0,1.976,0.36,2.6
0.005,0,1.395,0.37,3.4
0.002,0,0.713,0.26,9.8
0.008,0,1.938,0.5,7.2
0.02,0,1.259,0.3,2.6
0.012,0,1.572,0.38,3.7
0.006,0,1.826,0.34,17.4
0.006,0,1.956,0.39,4.3
0.012,0,1.226,0.31,1.2
0.019,0,1.429,0.39,3
0.029,0,1.619,0.47,3.3
0.012,0,1.408,0.5,8.1
0.014,0,1.424,0.39,3.2
0.053,0,2.663,0.7,4.2
0.036,0,2.176,0.68,2.1
0.003,0,1.16,0.47,12.8
0.002,0,0.886,0.14,2.1
0.008,0,2.848,0.5,4
0.012,0,3.192,0.63,13.6
0.004,0,0.964,0.41,5
0.003,0,1.299,0.42,4.6
0.015,0,4.185,0.29,4.8
0.019,0,2.339,0.34,2.8
0.008,0,2.408,0.5,9.4
0.009,0,1.739,0.25,97.4
0.008,0,2.278,0.42,3.4
0.006,0,2.456,0.4,4.2
0.004,0,2.314,0.41,1.8
0.003,0,2.303,0.28,3.2
0.003,0,0.994,0.29,4.8
0.003,0,1.833,0.34,1.8
0.01,0,2.16,0.45,2.7
0.014,0,2.634,0.4,45.8
0.025,0,2.155,0.5,25.2
0.009,0,1.549,0.23,4.6
0.04,0,3.77,0.66,58.7
0.013,0,1.713,0.33,5
0.035,0,2.515,0.6,5
0.01,0,0.98,0.41,4.8
0.011,0,0.722,0.33,2.7
0.042,0,3.032,0.51,2
0.021,0,1.861,0.47,3.2
0.013,0,1.165,0.4,6.9
0.011,0,1.306,0.34,4.2
0.018,0,1.888,0.37,3.7
0.009,0,1.559,0.32,19
0.015,0,1.925,0.67,4.1
0.005,0,0.898,0.37,27.4
0.069,0,2.199,0.61,4.2
0.022,0,1.448,0.56,9.1
0.011,0,1.691,0.32,3.8
0.013,0,1.573,0.34,2.6
0.032,0,1.842,0.55,3.6
0.072,0,1.972,0.89,91.6
0.046,0,1.546,0.36,17.3
0.061,0,1.227,0.35,19
0.037,0,1.9,0.94,95.4
0.056,0,2.266,0.91,72.6
0.055,0,1.461,0.64,63.7
0.058,0,1.615,0.73,178
0.008,0,1.162,0.5,87.2
0.005,0,1.138,0.3,4.4
0.018,0,2.258,0.71,28.6
0.01,0,1.231,0.5,20
0.02,0,2.27,0.79,35.1
0.014,0,2.404,0.44,7.4
0.007,0,1.114,0.38,8.7
0.029,0,1.929,0.67,9.4
0.007,0,1.158,0.67,39.6
0.011,0,1.751,0.58,9.6
0.015,0,1.436,1.02,83.7
0.018,0,1.402,0.47,56.9
0.018,0,2.158,0.9,22.1
0.012,0,1.703,0.74,85.6
0.012,0,1.716,0.75,31.2
0.014,0,1.564,0.49,10.7
0.027,0,1.917,0.55,10
0.021,0,1.499,0.75,48.9
0.05,0,1.72,0.54,214
0.039,0,1.449,0.49,343
0.043,0,2.533,0.94,4.9
0.012,0,1.408,0.44,11.9
0.03,0,1.091,0.47,2.2
0.007,0,0.759,0.3,6.8
0.016,0,2.546,0.23,4.5
0.006,0,0.698,0.26,9.9
0.018,0,2.858,0.8,14.7
0.005,0,1.291,0.62,65.2
0.014,0,1.854,0.18,11
0.036,0,1.656,0.44,19.7
0.044,0,2.314,0.83,25.9
0.02,0,1.67,0.63,19.8
0.035,0,1.615,0.02,14.5
0.036,0,1.776,0.65,126
0.015,0,0.937,0.45,68.6
0.019,0,1.271,0.37,97.4
0.045,0,1.585,0.5,7.9
0.011,0,0.518,0.34,3
0.039,0,1.277,0.76,12
0.004,0,0.783,0.76,8.1
0.07,0,1.717,0.98,8.6
0.011,0,0.936,0.42,6.9
0.01,0,0.82,0.45,2.8
0.005,0,0.664,0.49,11.9
0.034,0,1.929,1.4,49.7
0.045,0,3.164,2.25,250
0.037,0,1.512,0.66,161
0.013,0,1.056,0.85,26.7
0.047,0,2.821,1.87,141
0.006,0,1.291,1.09,101
0.034,0,1.163,0.65,130
0.025,0,1.877,1.2,38.3
0.058,0,2.079,1.08,7.7
0.026,0,1.23,0.65,62.3
0.044,0,1.468,0.71,5.5
0.082,0,1.772,0.83,7.5
0.027,0,1.335,0.67,8.9
0.039,0,1.388,0.84,10.6
0.093,0,2.493,1.23,9.1
0.076,0,2.966,1.31,11.4
0.011,0,0.689,0.41,5.7
0.071,0,3.541,1.13,10.9
0.02,0,2.58,0.84,2.2
0.018,0,1.304,0.66,118
0.008,0,0.846,0.42,4.1
0.01,0,1.102,0.7,31.3
0.008,0,0.877,0.47,5.9
0.006,0,1.099,0.62,2.1
0.028,0,1.329,0.57,4.9
0.01,0,1.072,0.39,3.3
0.019,0,1.15,0.51,6.8
0.003,0,0.665,0.41,8.2
0.01,0,1.373,0.54,24.8
0.009,0,1.609,0.49,4.1
0.006,0,1.407,0.52,6.1
0.018,0,1.878,0.63,14
0.021,0,0.931,0.49,6.3
0.07,0,2.58,0.98,0.5
0.033,0,1.484,0.49,8.1
0.017,0,1.45,0.57,2.1
0.014,0,1.149,0.5,11.8
0.017,0,1.318,0.59,8.1
0.067,0,2.217,0.8,7.2
0.059,0,1.659,0.56,285
0.072,0,1.922,0.59,327
0.007,0,0.963,0.63,64.2
0.004,0,0.732,0.64,76
0.028,0,1.489,0.83,258
0.081,0,2.161,0.65,305
0.09,0,2.19,0.72,319
0.13,0,2.58,0.68,615
0.012,0,2.042,0.79,54.7
0.03,0,1.125,0.55,167
0.004,0,1.124,1.02,195
0.002,0,0.634,0.51,4
0.008,0,0.679,0.54,5.3
0.001,0,0.5,0.46,8.4
0.008,0,0.83,0.68,7.2
0.006,0,0.835,0.36,0.9
0.004,0,0.93,0.47,3
0.001,0,0.391,0.28,9.6
0.019,0,1.172,0.46,13.3
0.007,0,1.047,0.55,4.8
0.006,0,0.628,0.51,2.9
0.003,0,0.8,0.45,6.9
0.001,0,0.38,0.36,2.4
0.001,0,0.405,0.4,4.1
0.001,0,0.52,0.49,2.7
0.002,0,0.303,0.2,6.4
0.001,0,0.427,0.41,3.4
0.003,0,0.868,0.42,2.2
0.005,0,0.613,0.54,6.3
0.009,0,0.891,0.27,2.3
0.066,0,2.85,1.66,3.8
0.01,0,0.811,0.32,2.6
0.004,0,1.3,0.56,4.3
0.011,0,0.79,0.41,1.9
0.006,0,0.717,0.43,3.5
0.004,0,0.68,0.36,2.6
0.005,0,0.5,0.44,24
0.012,0,1.004,0.95,11.7
0.002,0,0.43,0.31,3.6
0.003,0,0.33,0.22,2.3
0.02,0,0.93,0.46,4.5
0.188,0,2.998,0.74,4.1
0.003,0,0.76,0.39,1.4
0.013,0,1.598,0.8,16.6
0.001,0,0.825,0.5,2.8
0.003,0,1.231,0.99,25.9
0.013,0,1.35,0.7,15.9
0.007,0,1.45,0.81,11.1
0.005,0,0.947,0.3,0.9
0.006,0,1.721,0.8,8.4
0.006,0,1.662,0.8,13.7
0.003,0,0.632,0.55,6
0.01,0,1.266,0.64,8.2
0.008,0,1.29,0.58,2.1
0.014,0,2.6,1.03,3.4
0.075,0,2.95,1.52,6.5
0.013,0,1.36,0.64,9.2
0.009,0,1.081,0.5,7.7
0.01,0,0.58,0.45,5.7
0.067,0,2.477,1,13.6
0.005,0,0.62,0.5,15
0.019,0,1.892,1.22,38.6
0.006,0,0.8,0.53,10.5
0.012,0,1.11,0.69,16.7
0.002,0,0.79,0.55,23.2
0.01,0,1.26,0.8,11.3
0.005,0,0.609,0.44,3.7
0.004,0,0.995,0.48,1.9
0.011,0,1.81,0.66,6.3
0.005,0,0.792,0.26,2.5
0.012,0,1.112,0.59,9.8
0.006,0,1.262,0.47,6.4
0.014,0,0.83,0.44,6.9
0.009,0,0.565,0.33,5.5
0.007,0,1.416,0.55,4.7
0.013,0,1.055,0.48,8.9
0.018,0,1.55,0.57,13.5
0.014,0,0.71,0.31,57
0.019,0,0.89,0.36,19.6
0.055,0,1.39,0.59,25.3
0.012,0,0.874,0.47,8.1
0.008,0,0.73,0.38,3.5
0.012,0,1.59,0.72,8.1
0.018,0,1.649,0.9,32
0.007,0,0.6,0.39,2.9
0.015,0,0.94,0.51,13.1
0.015,0,0.61,0.42,4.3
0.038,0,2.28,1.27,95.6
0.002,0,0.712,0.46,6
0.013,0,1.374,0.72,54.6
0.008,0,1.798,0.7,92.9
0.01,0,1.375,0.74,17.7
0.014,0,1.11,0.57,141
0.011,0,0.86,0.56,35.3
0.013,0,2.203,0.91,90.3
0.019,0,1.37,0.64,65.5
0.005,0,1.221,0.88,107
0.01,0,1.422,0.55,10.7
0.052,0,3.04,2.23,5.1
0.011,0,1.06,0.54,4
0.01,0,0.8,0.4,2.3
0.007,0,0.974,0.34,2.2
0.009,0,1.005,0.4,4.2
0.007,0,1.58,0.78,3.1
0.014,0,0.82,0.45,1.8
0.006,0,1.08,0.64,4.9
0.009,0,0.55,0.37,2
0.001,0,0.613,0.36,0.9
0.008,0,0.87,0.46,3.2
0.034,0,2.254,0.77,2.5
0.009,0,1.174,0.69,12.2
0.007,0,0.9,0.4,1.3
0.004,0,0.802,0.34,5.9
0.004,0,1.564,0.36,2.3
0.003,0,1.853,0.4,1.5
0.012,0,1.47,0.58,3.1
0.002,0,1.742,0.37,1.7
0.023,0,1.613,0.37,3.6
0.012,0,1.902,0.59,20.8
0.004,0,1.325,0.33,2.7
0.007,0,1.497,0.42,2.9
0.009,0,1.559,0.26,3.9
0.031,0,1.254,0.42,47.1
0.019,0,1.3,0.29,8.5
0.028,0,1.36,0.76,5.7
0.001,0,0.938,0.43,3.5
0.004,0,0.614,0.33,8.1
0.004,0,1.27,0.37,5.7
0.073,0,2.843,1.5,11.9
0.004,0,1.116,0.42,7.2
0.007,0,1.685,0.73,9.1
0.013,0,1.395,0.44,49.4
0.005,0,0.849,0.31,10.6
0.008,0,1.998,0.39,6
0.056,0,1.856,0.38,4.9
0.012,0,2.252,0.43,2.5
0.011,0,1.761,0.49,33.2
0.008,0,2.138,0.38,5.6
0.01,0,2.06,0.44,4.3
0.028,0,2.038,0.49,2.3
0.03,0,2.37,0.98,4.7
0.036,0,1.396,0.34,5.1
0.044,0,1.9,0.97,4.1
0.26,0,6.34,4.72,7.4
0.017,0,2.147,0.43,1.7
0.044,0,1.664,0.49,5.3
0.093,0,2.58,1.4,10.8
0.003,0,1.578,0.79,33.8
0.065,0,3.655,1.67,3.7
0.013,0,1.883,0.61,1.7
0.011,0,1.35,0.52,3.2
0.005,0,1.264,0.38,3.4
0.004,0,0.961,0.53,1.6
0.02,0,1.69,0.84,2.6
0.011,0,1.781,0.53,2.5
0.014,0,1.477,0.56,8.5
0.011,0,1.371,0.24,5.7
0.035,0,1.565,0.43,6.5
0.03,0,1.66,0.47,11.6
0.011,0,1.351,0.33,3.3
0.01,0,1.59,0.36,3.9
0.005,0,0.918,0.44,17.2
0.026,0,1.896,0.57,5.8
0.01,0,1.65,0.33,4.2
0.038,0,1.52,0.52,8.4
0.04,0,2.32,0.87,4.4
0.097,0,1.81,0.86,30.8
0.059,0,2.32,1.2,12
0.036,0,1.46,0.47,7.3
0.098,0,1.9,1.03,30.6
0.025,0,1.995,0.85,7.3
0.056,0,2.926,1.44,9.5
0.026,0,1.83,0.76,6.6
0.02,0,1.93,0.75,5.9
0.006,0,1.672,0.82,7.8
0.005,0,1.287,0.51,2.9
0.004,0,0.964,0.48,6.8
0.018,0,1.578,0.46,12
0.002,0,2.032,0.58,4.5
0.042,0,2.152,0.95,12.3
0.018,0,1.918,0.61,9.1
0.006,0,1.786,0.52,5.8
0.034,0,1.78,0.79,29.1
0.06,0,1.586,0.62,4.8
0.012,0,2.342,0.58,4.4
0.047,0,1.76,0.7,11.9
0.022,0,1.722,0.54,8.4
0.049,0,1.69,0.83,8.9
0.123,0,2.68,1.65,9.9
0.011,0,2.601,0.96,5.3
0.014,0,1.744,0.64,8.7
0.011,0,1.257,0.51,50.3
0.05,0,2.22,1.12,20.1
0.005,0,1.324,0.41,5.1
0.004,0,1.597,0.84,6.8
0.021,0,1.911,0.81,16.4
0.011,0,1.245,0.66,4.7
0.018,0,1.898,0.76,7.4
0.032,0,1.75,0.88,21.6
0.005,0,0.918,0.48,26.2
0.013,0,1.2,0.44,19.8
0.006,0,1.35,0.5,5.6
0.006,0,1.466,0.42,8.3
0.011,0,1.315,0.51,7.4
0.005,0,1.366,0.4,15.3
0.023,0,1.353,0.16,12.9
0.006,0,1.397,0.56,3.8
0.009,0,1.499,0.48,8.2
0.012,0,1.25,0.39,4.6
0.04,0,1.23,0.54,1.5
0.015,0,1.23,0.4,4.1
0.066,0,2.31,1.2,4.3
0.017,0,1.243,0.25,4.4
0.036,0,1.24,0.49,2.5
0.016,0,1.02,0.54,19.9
0.008,0,1.032,0.75,20.4
0.033,0,2.023,0.5,3.3
0.005,0,0.75,0.4,3.5
0.004,0,0.64,0.28,8.1
0.006,0,0.65,0.45,9.5
0.002,0,0.831,0.54,26.4
0.003,0,0.84,0.38,7.8
0.008,0,1.064,0.47,5.8
0.011,0,0.8,0.54,11
0.022,0,1.602,0.29,1.4
0.009,0,1.138,0.49,4.8
0.004,0,0.357,0.26,5.2
0.008,0,1.15,0.69,4.3
0.007,0,1.202,0.47,3.9
0.007,0,0.947,0.41,5.7
0.007,0,1.047,0.47,1.4
0.024,0,1.06,0.66,5.7
0.018,0,1.2,0.83,3.2
0.015,0,0.94,0.56,10
0.021,0,1.211,0.58,3.4
0.016,0,0.915,0.32,7.4
0.062,0,2.43,1.78,4.1
0.017,0,0.74,0.58,16.2
0.015,0,0.688,0.63,14.7
0.012,0,0.78,0.65,8.9
0.008,0,0.58,0.46,3.6
0.054,0,1.417,1.06,263
0.007,0,0.73,0.53,4.6
0.012,0,0.47,0.42,3.9
0.046,0,1.616,0.39,6.4
0.012,0,1.304,0.49,3.5
0.036,0,1.838,1.16,27.5
0.011,0,1.302,0.54,6.3
0.024,0,1.46,0.52,4.5
0.027,0,1.09,0.63,50.1
0.014,0,0.976,0.61,12
0.01,0,1.13,0.52,19.8
0.016,0,1.01,0.52,8.8
0.004,0,0.528,0.3,13.8
0.033,0,1.573,0.8,31
0.017,0,0.7,0.5,4.4
0.028,0,1.09,0.61,4.9
0.027,0,1.467,0.74,19
0.016,0,0.89,0.46,2.3
0.173,0,2.94,1.83,12.7
0.011,0,0.72,0.47,29.4
0.054,0,3.454,2.5,570
0.061,0,1.561,0.84,84
0.055,0,2.065,1.1,75
0.012,0,0.64,0.55,38.6
0.041,0,1.07,0.56,141
0.068,0,1.86,0.7,99.6
0.036,0,0.86,0.6,65.6
0.01,0,1.17,0.89,10
0.01,0,1.22,0.64,10
0.022,0,0.85,0.45,7.3
0.009,0,1.08,0.58,10.3
0.01,0,0.77,0.58,10
0.047,0,1.447,0.9,10
0.018,0,1.538,0.68,10
0.01,0,1.04,0.78,10
0.01,0,1.52,0.88,10
0.016,0,1.166,0.62,15
0.021,0,1.411,0.79,49
0.018,0,1.22,0.74,6
0.014,0,1.2,0.68,6.8
0.141,0,3.42,2.2,15.4
0.007,0,0.57,0.48,3.2
0.012,0,1.02,0.65,32.9
0.01,0,0.54,0.31,6.9
0.009,0,0.87,0.41,9.8
0.032,0,1.062,0.9,51
0.014,0,0.85,0.54,3.9
0.008,0,0.98,0.49,2.9
0.001,0,0.575,0.47,9.7
0.002,0,0.93,0.47,2.8
0.004,0,0.668,0.53,5.9
0.001,0,0.45,0.41,4.9
0.001,0,0.39,0.24,4.9
0.005,0,0.36,0.34,8.2
0.007,0,0.831,0.62,13.3
0.005,0,0.66,0.38,3.2
0.005,0,0.849,0.33,1.5
0.02,0,0.92,0.43,5.9
0.008,0,0.854,0.31,4.1
0.006,0,0.741,0.37,3.8
0.016,0,0.59,0.39,3
0.2,0,4,3.09,3.2
0.003,0,0.46,0.45,3.1
0.007,0,0.49,0.44,22.6
0.007,0,0.77,0.44,62.6
0.006,0,0.7,0.38,1.4
0.001,0,0.493,0.34,6.8
0.007,0,0.34,0.2,5.6
0.002,0,0.796,0.77,9.1
0.078,0,0.78,0.38,7.3
0.055,0,1.705,0.65,4.3
0.018,0,1.062,0.61,23.1
0.016,0,0.81,0.47,30.6
0.011,0,1.051,0.72,40.7
0.005,0,0.64,0.39,7.9
0.005,0,0.757,0.52,38.4
0.004,0,1.058,0.51,5.7
0.014,0,1,0.42,19.8
0.006,0,1.161,0.49,14.6
0.007,0,1.219,0.49,8.8
0.01,0,1.128,0.42,6.9
0.012,0,0.72,0.34,3.7
0.03,0,0.962,0.43,5.1
0.008,0,0.57,0.41,3.5
0.014,0,0.97,0.5,39.7
0.157,0,1.76,0.99,19.8
0.012,0,0.81,0.64,15.9
0.011,0,0.67,0.41,16.7
0.006,0,0.61,0.39,2.8
0.004,0,0.658,0.46,21.4
0.041,0,1.771,0.61,3.7
0.023,0,1.17,0.86,33.1
0.009,0,0.62,0.43,7.7
0.003,0,0.38,0.37,6.7
0.016,0,1.706,0.6,13.4
0.015,0,1.01,0.66,20.6
0.006,0,0.94,0.63,7.6
0.009,0,1.557,0.6,27.8
0.007,0,1.051,0.53,9.3
0.037,0,1.75,0.72,29.2
0.017,0,1.233,0.59,10.2
0.007,0,0.881,0.57,34.8
0.012,0,1.61,0.6,18.1
0.014,0,0.825,0.18,3.7
0.016,0,0.76,0.48,3.8
0.004,0,0.76,0.52,2.1
0.012,0,1.135,0.37,5.3
0.083,0,2.06,0.87,9.1
0.026,0,0.95,0.53,15
0.003,0,0.5,0.46,5.4
0.004,0,0.62,0.4,1.4
0.013,0,0.847,0.71,20.4
0.003,0,0.373,0.23,8.6
0.002,0,0.52,0.39,1.9
0.004,0,0.39,0.31,2.7
0.034,0,1.834,0.59,5.9
0.007,0,0.68,0.54,8.3
0.008,0,1.438,0.4,3.8
0.005,0,1.14,0.4,3.6
0.01,0,1.238,0.39,5
0.004,0,1.464,0.37,8.6
0.006,0,1.596,0.4,4.4
0.013,0,1.272,0.39,5.6
0.003,0,0.586,0.18,2.2
0.05,0,1.64,0.61,17.9
0.01,0,0.98,0.37,9
0.035,0,1.21,0.5,5.6
0.012,0,1.038,0.3,2
0.087,0,3.17,1.13,6.7
0.031,0,1.04,0.48,3.9
0.015,0,1.174,0.44,4.2
0.017,0,1.22,0.45,3.6
0.011,0,0.89,0.4,8.6
0.006,0,0.43,0.25,2.7
0.003,0,0.652,0.3,2.8
0.004,0,0.93,0.33,1.6
0.004,0,0.74,0.4,2.9
0.007,0,0.853,0.58,6.6
0.004,0,0.65,0.25,4.1
0.045,0,1.665,0.3,7.1
0.011,0,1.323,0.37,3.1
0.005,0,1.225,0.4,3.8
0.006,0,1.174,0.31,3.7
0.005,0,1.395,0.37,2.8
0.004,0,1.279,0.34,7.9
0.009,0,1.282,0.42,6.8
0.004,0,0.684,0.23,7.2
0.012,0,1.35,0.57,10.8
0.04,0,1.41,0.34,3.4
0.036,0,1.107,0.27,41.1
0.042,0,1.862,0.53,11.6
0.044,0,2.41,0.96,34.3
0.072,0,1.52,0.74,70.9
0.049,0,1.26,0.52,16.8
0.031,0,1.48,0.6,33.2
0.009,0,1.162,0.59,23
0.062,0,2.362,1.14,27.4
0.004,0,0.958,0.49,10.2
0.008,0,0.979,0.41,45.5
0.018,0,2.198,0.99,57.4
0.016,0,1.373,0.62,25.2
0.003,0,1.07,0.38,7.9
0.036,0,1.56,0.76,71.2
0.004,0,1.02,0.48,8.9
0.005,0.8,1.76,0.56,6.3
0.004,0.8,1.02,0.48,8.9
0.007,0.8,0.881,0.43,12.1
0.005,2,0.845,0.52,21.8
0.024,2,2.05,0.68,2.3
0.091,0,2.791,1.56,13.4
0.007,0,1.577,0.36,1.5
0.008,0,1.678,0.38,2.9
0.009,0,1.314,0.37,3.9
0.024,0,2.064,0.89,6.5
0.01,0.8,1.267,0.5,20.7
0.01,0,1.267,0.5,20.7
0.052,0.8,2.64,1.1,5.2
0.017,0,1.647,0.39,2.7
0.059,0,2.019,0.68,2.7
0.032,0,3.857,2.99,2.2
0.042,0,1.416,0.5,5.8
0.004,0,1.524,0.74,12.7
0.05,0,3.23,1.56,4.7
0.005,0,0.517,0.18,4.4
0.005,0,1.205,0.31,5
0.006,0,0.749,0.15,5.3
0.013,0,1.46,0.56,3.6
0.01,0,1.28,0.23,2.1
0.01,0,1.374,0.54,5.8
0.006,0,1.237,0.39,8.8
0.019,0,2.139,0.69,6.7
0.004,0,0.556,0.25,6.4
0.008,0,0.882,0.34,3.5
0.007,0,1.334,0.34,3.9
0.012,0,1.392,0.45,3.2
0.016,0,1.369,0.62,3.4
0.024,0,1.274,0.25,1
0.02,0,1.39,0.37,2
0.017,0,1.537,0.52,3.1
0.014,0,1.159,0.37,4.6
0.031,0,2,0.26,2.4
0.01,0,1.62,0.36,7
0.018,0,1.498,0.48,2.3
0.014,0,1.384,0.37,4.6
0.01,0,1.38,0.37,2.2
0.011,0,1.79,0.31,1
0.011,0,1.661,0.4,7.1
0.005,0,0.879,0.34,14
0.004,0,0.742,0.5,24
0.009,0,1.699,0.34,1.4
0.019,0,1.469,0.21,2
0.006,0,0.688,0.3,7.6
0.028,0,1.528,0.48,2.4
0.013,0,1.823,0.83,14
0.016,0,1.715,0.89,32.6
0.006,0,0.978,0.5,31.8
0.028,0,1.968,0.93,11.9
0.014,0,1.884,0.86,17.2
0.014,0,1.844,0.75,5.6
0.012,0,1.535,0.71,3.2
0.018,0,1.345,0.46,4.6
0.026,0,1.776,0.63,2.6
0.028,0,1.63,0.63,9.8
0.011,0,1.204,0.71,12.4
0.005,0,1.149,0.4,8.6
0.006,0,1.321,0.61,51.2
0.017,0,1.6,0.65,9.8
0.006,0,0.898,0.5,12.2
0.038,0,2.738,1.09,7
0.02,0,1.664,0.86,20.2
0.022,43.4,2.363,1.8,464
0.026,43.4,3.758,3.16,808
0.017,0,2.377,1.18,173
0.023,43.4,1.925,1.26,334
0.024,40.4,3.44,2.43,464
0.027,0,5.308,4.67,2310
0.027,0,2.787,1.73,521
0.022,0,2.363,1.8,464
0.016,43.4,3.16,2.12,3020
0.037,0,2.099,1.24,364
0.027,43.4,5.308,4.67,2310
0.013,0,1.961,1.31,127
0.015,0,1.385,0.79,65.1
0.014,0,1.784,0.57,14.8
0.022,0,1.544,0.64,19.9
0.046,0,2.376,0.79,18.9
0.018,0,2.238,0.83,24.7
0.008,0,1.292,0.76,113
0.006,0,0.74,0.53,7.1
0.012,0,0.973,0.5,3.3
0.006,0,0.675,0.37,5.2
0.004,0,0.607,0.44,4.3
0.08,0,0.99,0.57,6.7
0.003,0,0.383,0.25,8.9
0.003,0,0.383,0.25,8.9
0.04,0,1.495,0.68,3.9
0.013,0,1.113,0.44,3.4
0.002,0,0.371,0.25,4.2
0.08,0,1.07,0.57,6.7
0.038,0,1.111,0.62,5
